userId,menuItemId,rating
1,43,3
1,26,4
1,40,1
1,31,2
1,2,2
1,21,5
1,41,3
1,28,2
1,5,2
1,36,5
1,11,2
1,39,2
1,33,5
1,12,5
1,15,3
1,9,4
1,47,1
1,16,2
1,10,1
2,41,4
2,50,1
2,26,3
2,49,5
2,46,5
2,24,4
3,30,3
3,24,2
3,28,3
3,47,4
3,4,4
3,6,3
3,8,5
3,13,5
3,49,3
3,17,2
3,14,2
3,37,1
3,3,5
3,40,1
3,38,2
3,34,5
3,9,4
3,31,5
3,1,1
4,16,3
4,33,2
4,6,4
4,4,1
4,1,1
4,23,4
4,25,1
4,50,4
4,5,3
4,35,2
4,46,3
4,34,4
4,30,2
4,28,4
4,14,4
4,45,2
4,12,4
4,8,5
4,24,5
5,42,4
5,1,1
5,14,1
5,32,2
5,36,5
5,8,3
5,6,1
5,38,2
5,47,3
5,13,2
5,3,2
5,45,2
5,22,3
6,45,5
6,8,5
6,34,2
6,17,5
6,20,5
6,12,3
6,42,1
6,49,2
6,37,3
6,19,4
6,6,5
6,28,4
6,43,4
6,1,1
6,13,1
6,32,1
6,26,2
6,9,1
7,18,5
7,46,5
7,40,5
7,29,4
7,38,3
7,45,2
7,25,3
7,35,4
7,50,3
7,42,4
7,28,1
8,23,1
8,2,3
8,7,1
8,38,1
8,36,1
8,25,5
8,45,4
8,22,5
8,1,5
8,13,3
8,42,2
8,24,5
8,32,3
8,21,3
9,17,1
9,8,1
9,16,1
9,48,4
9,19,3
9,42,4
9,4,4
9,44,2
9,35,3
9,18,1
9,2,5
9,49,5
9,30,4
9,13,1
9,29,3
9,31,5
10,42,2
10,37,2
10,41,5
10,33,3
10,40,1
10,8,2
10,48,1
10,30,1
10,13,2
10,21,2
11,35,2
11,47,2
11,22,5
11,46,2
11,9,2
11,19,4
11,30,1
11,7,2
11,15,2
12,14,1
12,18,3
12,26,2
12,1,2
12,24,3
13,37,1
13,4,2
13,27,1
13,29,2
13,6,5
13,40,3
13,48,2
13,49,4
13,13,5
13,15,5
13,22,3
13,16,3
13,50,2
13,7,3
13,47,5
13,35,4
13,23,2
13,32,2
13,3,4
13,20,1
14,50,3
14,17,4
14,30,3
14,12,1
14,7,3
14,48,4
14,19,1
14,2,1
14,5,4
14,38,3
14,33,3
15,38,5
15,9,3
15,31,3
15,3,4
15,39,1
15,33,4
15,21,4
15,14,1
15,23,1
15,49,1
15,44,4
15,20,3
15,26,3
15,34,5
15,37,3
15,16,1
16,31,5
16,3,4
16,40,4
16,9,5
16,18,4
16,21,1
16,50,1
17,17,3
17,28,1
17,12,2
17,13,3
17,43,4
17,14,3
17,15,4
17,10,4
17,22,4
17,21,4
17,18,4
17,49,1
17,7,1
17,44,4
17,20,2
17,38,5
17,42,5
18,41,4
18,4,5
18,28,5
18,21,2
18,31,1
18,22,5
18,32,1
18,23,1
18,45,5
18,1,5
19,34,4
19,43,5
19,32,5
19,25,3
19,11,1
19,29,2
19,13,5
20,12,3
20,13,1
20,32,4
20,24,4
20,17,3
20,7,5
20,45,4
20,42,1
20,49,1
20,21,4
20,48,5
20,43,1
20,34,4
20,30,1
20,16,5
20,4,1
20,35,5
20,27,3
20,50,2
21,18,1
